hostTime;deviceTime;rA;cA;rB;cB;tpb_x;tpb_y
150316.329536;59.178465;3400;3400;3400;3400;8;4
150489.286090;83.626407;3400;3400;3400;3400;10;4
231820.936178;126.784826;4000;4000;4000;4000;6;4
151542.470069;37.361244;3200;3200;3200;3200;14;4
148998.686011;49.610727;3400;3400;3400;3400;12;4
168632.144236;73.438296;3600;3600;3600;3600;8;4
169115.386547;99.925915;3600;3600;3600;3600;10;4
278730.215308;204.403976;4200;4200;4200;4200;4;4
281064.601668;376.656391;4200;4200;4200;4200;2;4
148302.103867;44.167487;3400;3400;3400;3400;14;4
168255.105879;61.133394;3600;3600;3600;3600;12;4
278197.029348;145.987434;4200;4200;4200;4200;6;4
25.866022;0.050037;200;200;200;200;18;4
25.868623;0.039116;200;200;200;200;16;4
207.066597;0.197489;400;400;400;400;18;4
207.118261;0.092795;400;400;400;400;16;4
715.833032;0.468992;600;600;600;600;18;4
718.344131;0.202611;600;600;600;600;16;4
1707.059355;0.421135;800;800;800;800;16;4
1738.828794;0.991649;800;800;800;800;18;4
205971.484016;85.837217;3800;3800;3800;3800;8;4
3370.439380;1.864785;1000;1000;1000;1000;18;4
3391.751658;0.786955;1000;1000;1000;1000;16;4
5730.077317;3.145222;1200;1200;1200;1200;18;4
5750.238781;1.290186;1200;1200;1200;1200;16;4
206349.309824;100.900125;3800;3800;3800;3800;10;4
9228.996035;4.920752;1400;1400;1400;1400;18;4
9152.259566;2.039554;1400;1400;1400;1400;16;4
168144.836592;54.661524;3600;3600;3600;3600;14;4
13544.459037;3.004739;1600;1600;1600;1600;16;4
13583.206541;5.172884;1600;1600;1600;1600;18;4
19423.622402;4.265472;1800;1800;1800;1800;16;4
19451.536183;10.322728;1800;1800;1800;1800;18;4
26429.839159;5.905539;2000;2000;2000;2000;16;4
26404.706166;14.199139;2000;2000;2000;2000;18;4
35508.415771;7.722532;2200;2200;2200;2200;16;4
35474.391735;16.869412;2200;2200;2200;2200;18;4
205872.286799;70.986061;3800;3800;3800;3800;12;4
311791.652735;236.660711;4400;4400;4400;4400;4;4
45855.835507;22.062201;2400;2400;2400;2400;18;4
46036.595461;10.173748;2400;2400;2400;2400;16;4
312679.447646;438.129046;4400;4400;4400;4400;2;4
60479.098267;30.349103;2600;2600;2600;2600;18;4
60544.245605;13.623355;2600;2600;2600;2600;16;4
224478.755063;101.669635;4000;4000;4000;4000;8;4
205892.241308;64.091755;3800;3800;3800;3800;14;4
232022.168298;135.590452;4000;4000;4000;4000;10;4
311476.981687;168.914227;4400;4400;4400;4400;6;4
76702.713183;19.060372;2800;2800;2800;2800;16;4
77042.732604;39.394705;2800;2800;2800;2800;18;4
230959.539721;88.259815;4000;4000;4000;4000;12;4
97252.218789;25.359371;3000;3000;3000;3000;16;4
97604.086951;48.794648;3000;3000;3000;3000;18;4
232035.227430;78.468847;4000;4000;4000;4000;14;4
278254.607794;117.712527;4200;4200;4200;4200;8;4
366055.401595;269.929327;4600;4600;4600;4600;4;4
279904.018627;136.304281;4200;4200;4200;4200;10;4
381231.945166;498.541207;4600;4600;4600;4600;2;4
148787.118135;60.401355;3200;3200;3200;3200;18;4
151517.196436;32.974085;3200;3200;3200;3200;16;4
381213.046030;192.356180;4600;4600;4600;4600;6;4
278774.768444;97.475961;4200;4200;4200;4200;12;4
149423.580429;71.264984;3400;3400;3400;3400;18;4
149124.360759;41.500140;3400;3400;3400;3400;16;4
274112.997728;88.433985;4200;4200;4200;4200;14;4
303392.025078;136.285029;4400;4400;4400;4400;8;4
311330.055028;177.304668;4400;4400;4400;4400;10;4
